id,employee_id,training_checklist,status,created_at,completed_at
1,7,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2025-08-27T01:03:53.913Z,2025-09-26T00:00:00.000Z
2,8,"{""tasks"": [""Complete HR paperwork"", ""Set up workstation"", ""IT systems training"", ""Meet team members"", ""Safety training"", ""Review company policies""]}",completed,2024-09-29T10:02:48.999Z,2024-10-29T00:00:00.000Z
3,9,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2024-02-03T09:55:20.312Z,2024-03-04T00:00:00.000Z
4,10,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2024-01-22T07:24:03.185Z,2024-02-21T00:00:00.000Z
5,11,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2025-06-14T17:15:07.778Z,2025-07-14T00:00:00.000Z
6,12,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2025-10-23T19:29:06.963Z,2025-11-22T00:00:00.000Z
7,13,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2025-02-16T02:57:57.406Z,2025-03-18T00:00:00.000Z
8,14,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2024-04-14T19:43:04.046Z,2024-05-14T00:00:00.000Z
9,15,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2024-05-01T12:06:29.528Z,2024-05-31T00:00:00.000Z
10,16,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2025-08-11T10:15:39.295Z,2025-09-10T00:00:00.000Z
11,17,"{""tasks"": [""Complete HR paperwork"", ""Set up workstation"", ""IT systems training"", ""Meet team members"", ""Safety training"", ""Review company policies""]}",completed,2024-12-14T07:27:59.383Z,2025-01-13T00:00:00.000Z
12,18,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2025-03-05T08:46:46.791Z,2025-04-04T00:00:00.000Z
13,19,"{""tasks"": [""Complete HR paperwork"", ""Set up workstation"", ""IT systems training"", ""Meet team members"", ""Safety training"", ""Review company policies""]}",completed,2025-07-07T19:10:26.795Z,2025-08-06T00:00:00.000Z
14,20,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2025-12-11T05:12:47.436Z,2026-01-10T00:00:00.000Z
15,21,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2024-05-15T08:54:15.015Z,2024-06-14T00:00:00.000Z
16,22,"{""tasks"": [""Complete HR paperwork"", ""Set up workstation"", ""IT systems training"", ""Meet team members"", ""Safety training"", ""Review company policies""]}",completed,2025-01-11T02:36:01.427Z,2025-02-10T00:00:00.000Z
