id,shift_id,employee_id,reason,replacement_employee_id,resolved_at,created_at
1,1,7,Car trouble,37,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
2,2,8,Not feeling well,96,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
3,3,9,Transportation issue,24,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
4,4,10,Transportation issue,52,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
5,5,11,Childcare emergency,26,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
6,6,14,Feeling sick,67,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
7,7,16,Doctor appointment,78,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
8,8,17,Doctor appointment,36,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
9,9,18,Feeling sick,,,2025-11-28T06:00:00.000Z
10,10,20,Transportation issue,22,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
11,11,21,Car trouble,8,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
12,12,22,Childcare emergency,104,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
13,13,23,Transportation issue,73,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
14,14,24,Feeling sick,10,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
15,15,25,Doctor appointment,69,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
16,16,26,Not feeling well,94,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
17,17,27,Not feeling well,72,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
18,18,28,Family emergency,67,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
19,19,29,Personal matter,26,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
20,20,30,Car trouble,32,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
21,21,31,Not feeling well,104,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
22,22,32,Car trouble,,,2025-11-28T06:00:00.000Z
23,23,33,Not feeling well,60,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
24,24,34,Car trouble,101,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
25,25,35,Not feeling well,47,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
26,26,36,Feeling sick,29,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
27,27,37,Transportation issue,35,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
28,28,38,Childcare emergency,70,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
29,29,39,Family emergency,50,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
30,30,40,Car trouble,103,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
31,31,41,Childcare emergency,,,2025-11-28T06:00:00.000Z
32,32,42,Transportation issue,34,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
33,33,43,Transportation issue,8,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
34,34,44,Transportation issue,27,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
35,35,45,Feeling sick,24,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
36,36,46,Family emergency,47,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
37,37,47,Not feeling well,93,2025-11-28T07:00:00.000Z,2025-11-28T06:00:00.000Z
