id,shift_id,employee_id,approval_status,approved_at,notes
1,1,7,approved,2026-01-13T01:22:40.981Z,Approved by manager
2,2,8,approved,2026-01-16T15:29:25.325Z,Standard approval
3,3,9,rejected,2026-01-16T11:17:11.627Z,Did not complete full shift
4,4,10,approved,2026-01-11T19:13:05.022Z,Excellent performance
5,5,11,pending,,
6,6,14,approved,2026-01-16T17:46:22.355Z,Excellent performance
7,7,16,approved,2026-01-15T08:38:51.014Z,
8,8,17,approved,2026-01-11T20:54:45.347Z,Standard approval
9,9,18,pending,,
10,10,20,approved,2026-01-14T15:01:48.837Z,
11,11,21,approved,2026-01-14T03:14:51.596Z,
12,12,22,approved,2026-01-15T17:05:45.148Z,Late arrival noted
13,13,23,approved,2026-01-12T22:13:27.650Z,
14,14,24,approved,2026-01-13T16:26:46.024Z,Excellent performance
15,15,25,approved,2026-01-15T15:22:46.238Z,
16,16,26,approved,2026-01-12T09:30:26.119Z,Approved by manager
17,17,27,approved,2026-01-13T14:33:13.232Z,
18,18,28,approved,2026-01-13T19:50:09.377Z,Excellent performance
19,19,29,approved,2026-01-12T22:24:52.058Z,Standard approval
20,20,30,approved,2026-01-12T10:52:35.378Z,Excellent performance
21,21,31,approved,2026-01-13T11:45:53.488Z,Excellent performance
22,22,32,approved,2026-01-16T06:41:44.461Z,Excellent performance
23,23,33,approved,2026-01-11T20:03:39.171Z,Late arrival noted
24,24,34,approved,2026-01-12T07:50:41.562Z,Approved by manager
25,25,35,approved,2026-01-12T04:16:37.379Z,Standard approval
26,26,36,approved,2026-01-13T04:48:59.825Z,Excellent performance
27,27,37,approved,2026-01-14T17:08:39.516Z,
28,28,38,approved,2026-01-12T19:37:32.881Z,Standard approval
29,29,39,approved,2026-01-14T21:02:11.351Z,
30,30,40,approved,2026-01-14T01:36:48.151Z,Standard approval
31,31,41,approved,2026-01-16T05:04:34.784Z,Approved by manager
32,32,42,approved,2026-01-12T09:39:31.232Z,Approved by manager
33,33,43,pending,,
34,34,44,approved,2026-01-14T04:05:02.473Z,Excellent performance
35,35,45,approved,2026-01-13T17:53:34.969Z,
36,36,46,rejected,2026-01-14T23:32:13.228Z,Did not complete full shift
37,37,47,approved,2026-01-14T09:50:17.461Z,
38,38,48,approved,2026-01-13T22:50:12.892Z,
39,39,49,approved,2026-01-13T05:35:07.220Z,Late arrival noted
40,40,50,approved,2026-01-12T06:00:50.896Z,Excellent performance
41,41,51,approved,2026-01-14T22:56:16.764Z,
42,42,52,approved,2026-01-16T14:31:52.577Z,Excellent performance
43,43,53,approved,2026-01-14T07:44:37.202Z,
44,44,55,rejected,2026-01-16T02:23:28.601Z,Did not complete full shift
45,45,56,approved,2026-01-14T05:49:31.691Z,Standard approval
46,46,57,approved,2026-01-16T12:42:57.637Z,
47,47,58,approved,2026-01-13T08:25:30.884Z,
48,48,59,approved,2026-01-13T00:17:29.484Z,Standard approval
49,49,60,approved,2026-01-12T05:38:10.103Z,Approved by manager
50,50,61,approved,2026-01-14T02:06:29.864Z,Excellent performance
51,51,62,approved,2026-01-13T00:35:32.672Z,
52,52,64,approved,2026-01-15T15:14:13.803Z,Approved by manager
53,53,65,approved,2026-01-14T21:49:23.294Z,Approved by manager
54,54,66,approved,2026-01-16T04:28:27.661Z,Approved by manager
55,55,67,approved,2026-01-12T02:59:19.033Z,
56,56,68,approved,2026-01-15T12:08:00.667Z,Approved by manager
57,57,69,approved,2026-01-16T00:24:18.200Z,Approved by manager
58,58,70,approved,2026-01-15T13:17:05.359Z,
59,59,71,approved,2026-01-13T21:19:31.375Z,Standard approval
60,60,72,approved,2026-01-14T01:12:32.012Z,Late arrival noted
61,61,73,approved,2026-01-16T11:25:10.014Z,Approved by manager
62,62,74,approved,2026-01-11T20:17:55.706Z,Excellent performance
63,63,75,approved,2026-01-15T16:42:11.967Z,Standard approval
64,64,77,approved,2026-01-13T02:44:06.611Z,Late arrival noted
65,65,78,approved,2026-01-15T04:44:37.742Z,Excellent performance
66,66,79,pending,,
67,67,80,rejected,2026-01-14T13:47:37.989Z,Did not complete full shift
68,68,81,approved,2026-01-15T08:05:22.345Z,Excellent performance
69,69,82,approved,2026-01-12T08:59:40.183Z,Late arrival noted
70,70,83,approved,2026-01-15T11:29:05.011Z,Standard approval
71,71,84,approved,2026-01-11T19:38:35.355Z,
72,72,85,approved,2026-01-11T22:24:48.848Z,Excellent performance
73,73,86,rejected,2026-01-14T18:43:21.337Z,Did not complete full shift
74,74,87,approved,2026-01-14T01:31:57.217Z,Approved by manager
75,75,89,approved,2026-01-14T10:41:28.340Z,Approved by manager
76,76,90,approved,2026-01-16T04:37:11.231Z,Standard approval
77,77,91,approved,2026-01-12T07:41:44.319Z,Excellent performance
78,78,92,approved,2026-01-15T18:20:58.373Z,Excellent performance
79,79,93,approved,2026-01-15T04:46:24.922Z,Standard approval
80,80,94,pending,,
81,81,95,rejected,2026-01-15T22:21:08.364Z,Did not complete full shift
82,82,96,approved,2026-01-12T12:42:15.204Z,Standard approval
83,83,97,pending,,
84,84,98,approved,2026-01-12T03:26:44.072Z,Approved by manager
85,85,99,approved,2026-01-14T02:27:47.405Z,Late arrival noted
86,86,100,rejected,2026-01-15T07:43:21.564Z,Did not complete full shift
87,87,101,approved,2026-01-13T05:31:12.980Z,Approved by manager
88,88,102,approved,2026-01-16T09:49:44.071Z,Late arrival noted
89,89,103,approved,2026-01-14T23:05:16.766Z,
90,90,104,approved,2026-01-13T06:48:55.550Z,Approved by manager
91,91,105,rejected,2026-01-14T14:17:40.436Z,Did not complete full shift
92,92,106,approved,2026-01-13T21:38:02.486Z,
93,93,107,approved,2026-01-14T00:54:06.181Z,Standard approval
94,94,108,approved,2026-01-14T16:12:29.464Z,Excellent performance
95,95,7,approved,2026-01-16T10:46:38.716Z,
96,96,8,approved,2026-01-12T20:43:18.063Z,
97,97,9,approved,2026-01-15T23:55:27.592Z,Standard approval
98,98,10,approved,2026-01-13T03:54:50.093Z,Standard approval
99,99,11,approved,2026-01-12T15:48:02.769Z,
100,100,14,approved,2026-01-13T10:27:14.333Z,Standard approval
101,101,16,approved,2026-01-16T17:28:20.492Z,Approved by manager
102,102,17,approved,2026-01-11T22:23:14.263Z,Standard approval
103,103,18,approved,2026-01-16T12:00:23.994Z,Standard approval
104,104,20,approved,2026-01-15T22:21:27.028Z,Approved by manager
105,105,21,approved,2026-01-15T20:51:45.437Z,Standard approval
106,106,22,approved,2026-01-15T03:47:15.900Z,
107,107,23,approved,2026-01-13T13:03:26.994Z,Standard approval
108,108,24,approved,2026-01-15T07:32:39.594Z,Late arrival noted
109,109,25,approved,2026-01-13T22:35:47.860Z,Approved by manager
110,110,26,pending,,
111,111,27,approved,2026-01-14T15:51:48.426Z,Excellent performance
112,112,28,approved,2026-01-15T17:00:39.591Z,
113,113,29,approved,2026-01-14T23:53:56.756Z,Excellent performance
114,114,30,approved,2026-01-12T02:41:49.488Z,Late arrival noted
115,115,31,approved,2026-01-12T22:10:57.956Z,Late arrival noted
116,116,32,approved,2026-01-14T16:17:51.230Z,
