id,employee_id,scheduled_start,scheduled_end,actual_start,actual_end,status,created_at,updated_at
1,7,2025-11-28T08:00:00.000Z,2025-11-28T17:00:00.000Z,2025-11-28T07:59:00.000Z,2025-11-28T16:54:00.000Z,completed,2025-11-28T08:00:00.000Z,2025-11-28T08:00:00.000Z
2,8,2025-11-28T08:00:00.000Z,2025-11-28T17:00:00.000Z,2025-11-28T08:02:00.000Z,2025-11-28T17:00:00.000Z,completed,2025-11-28T08:00:00.000Z,2025-11-28T08:00:00.000Z
3,9,2025-11-28T08:00:00.000Z,2025-11-28T17:00:00.000Z,2025-11-28T08:03:00.000Z,2025-11-28T16:58:00.000Z,completed,2025-11-28T08:00:00.000Z,2025-11-28T08:00:00.000Z
4,10,2025-11-28T08:00:00.000Z,2025-11-28T17:00:00.000Z,2025-11-28T07:55:00.000Z,2025-11-28T17:09:00.000Z,completed,2025-11-28T08:00:00.000Z,2025-11-28T08:00:00.000Z
5,11,2025-11-28T08:00:00.000Z,2025-11-28T17:00:00.000Z,2025-11-28T08:01:00.000Z,2025-11-28T16:59:00.000Z,completed,2025-11-28T08:00:00.000Z,2025-11-28T08:00:00.000Z
6,14,2025-11-28T08:00:00.000Z,2025-11-28T17:00:00.000Z,2025-11-28T07:58:00.000Z,2025-11-28T17:01:00.000Z,completed,2025-11-28T08:00:00.000Z,2025-11-28T08:00:00.000Z
7,16,2025-11-28T08:00:00.000Z,2025-11-28T17:00:00.000Z,2025-11-28T08:00:00.000Z,2025-11-28T17:06:00.000Z,completed,2025-11-28T08:00:00.000Z,2025-11-28T08:00:00.000Z
8,17,2025-11-28T08:00:00.000Z,2025-11-28T17:00:00.000Z,2025-11-28T07:58:00.000Z,2025-11-28T16:53:00.000Z,completed,2025-11-28T08:00:00.000Z,2025-11-28T08:00:00.000Z
9,18,2025-11-28T08:00:00.000Z,2025-11-28T17:00:00.000Z,2025-11-28T08:03:00.000Z,2025-11-28T16:55:00.000Z,completed,2025-11-28T08:00:00.000Z,2025-11-28T08:00:00.000Z
10,20,2025-11-28T08:00:00.000Z,2025-11-28T17:00:00.000Z,2025-11-28T07:55:00.000Z,2025-11-28T17:09:00.000Z,completed,2025-11-28T08:00:00.000Z,2025-11-28T08:00:00.000Z
11,21,2025-11-28T08:00:00.000Z,2025-11-28T17:00:00.000Z,2025-11-28T08:04:00.000Z,2025-11-28T16:53:00.000Z,completed,2025-11-28T08:00:00.000Z,2025-11-28T08:00:00.000Z
12,22,2025-11-28T08:00:00.000Z,2025-11-28T17:00:00.000Z,2025-11-28T07:58:00.000Z,2025-11-28T17:05:00.000Z,completed,2025-11-28T08:00:00.000Z,2025-11-28T08:00:00.000Z
13,23,2025-11-28T08:00:00.000Z,2025-11-28T17:00:00.000Z,2025-11-28T08:02:00.000Z,2025-11-28T17:09:00.000Z,completed,2025-11-28T08:00:00.000Z,2025-11-28T08:00:00.000Z
14,24,2025-11-28T08:00:00.000Z,2025-11-28T17:00:00.000Z,2025-11-28T08:00:00.000Z,2025-11-28T17:09:00.000Z,completed,2025-11-28T08:00:00.000Z,2025-11-28T08:00:00.000Z
15,25,2025-11-28T08:00:00.000Z,2025-11-28T17:00:00.000Z,2025-11-28T08:02:00.000Z,2025-11-28T16:51:00.000Z,completed,2025-11-28T08:00:00.000Z,2025-11-28T08:00:00.000Z
16,26,2025-11-28T08:00:00.000Z,2025-11-28T17:00:00.000Z,2025-11-28T08:02:00.000Z,2025-11-28T16:55:00.000Z,completed,2025-11-28T08:00:00.000Z,2025-11-28T08:00:00.000Z
17,27,2025-11-28T08:00:00.000Z,2025-11-28T17:00:00.000Z,2025-11-28T07:57:00.000Z,2025-11-28T17:05:00.000Z,completed,2025-11-28T08:00:00.000Z,2025-11-28T08:00:00.000Z
18,28,2025-11-28T08:00:00.000Z,2025-11-28T17:00:00.000Z,2025-11-28T08:03:00.000Z,2025-11-28T16:58:00.000Z,completed,2025-11-28T08:00:00.000Z,2025-11-28T08:00:00.000Z
19,29,2025-11-28T08:00:00.000Z,2025-11-28T17:00:00.000Z,2025-11-28T08:04:00.000Z,2025-11-28T17:01:00.000Z,completed,2025-11-28T08:00:00.000Z,2025-11-28T08:00:00.000Z
20,30,2025-11-28T08:00:00.000Z,2025-11-28T17:00:00.000Z,2025-11-28T07:59:00.000Z,2025-11-28T16:54:00.000Z,completed,2025-11-28T08:00:00.000Z,2025-11-28T08:00:00.000Z
